NodeID,TagName,ObservabilityMode,Sampling Interval Milliseconds,QueueSize
ns=3;i=4003,Random(757),None,500,1
ns=3;i=4004,Random(816),None,500,1
ns=3;i=4005,Random(47),None,500,1
ns=3;i=4006,Random(962),None,500,1
ns=3;i=4007,Random(91),None,500,1
ns=3;i=4008,Random(562),None,500,1
ns=3;i=4009,Random(315),None,500,1
ns=3;i=4010,Random(914),None,500,1
ns=3;i=4011,Random(849),None,500,1
ns=3;i=4012,Random(691),None,500,1
ns=3;i=4013,Random(1),None,500,1
ns=3;i=4014,Random(2),None,500,1
ns=3;i=4015,Random(3),None,500,1
ns=3;i=4016,Random(4),None,500,1
ns=3;i=4017,Random(5),None,500,1
ns=3;i=4018,Random(6),None,500,1
ns=3;i=4019,Random(7),None,500,1
ns=3;i=4020,Random(8),None,500,1
ns=3;i=4021,Random(9),None,500,1
ns=3;i=4022,Random(10),None,500,1
ns=3;i=4023,Random(11),None,500,1
ns=3;i=4024,Random(12),None,500,1
ns=3;i=4025,Random(13),None,500,1
ns=3;i=4026,Random(14),None,500,1
ns=3;i=4027,Random(15),None,500,1
ns=3;i=4028,Random(16),None,500,1
ns=3;i=4029,Random(17),None,500,1
ns=3;i=4030,Random(18),None,500,1
ns=3;i=4031,Random(19),None,500,1
ns=3;i=4032,Random(20),None,500,1
ns=3;i=4033,Random(21),None,500,1
ns=3;i=4034,Random(22),None,500,1
ns=3;i=4035,Random(23),None,500,1
ns=3;i=4036,Random(24),None,500,1
ns=3;i=4037,Random(25),None,500,1
ns=3;i=4038,Random(26),None,500,1
ns=3;i=4039,Random(27),None,500,1
ns=3;i=4040,Random(28),None,500,1
ns=3;i=4041,Random(29),None,500,1
ns=3;i=4042,Random(30),None,500,1
ns=3;i=4043,Random(31),None,500,1
ns=3;i=4044,Random(32),None,500,1
ns=3;i=4045,Random(33),None,500,1
ns=3;i=4046,Random(34),None,500,1
ns=3;i=4047,Random(35),None,500,1
ns=3;i=4048,Random(36),None,500,1
ns=3;i=4049,Random(37),None,500,1
ns=3;i=4050,Random(38),None,500,1
ns=3;i=4051,Random(39),None,500,1
ns=3;i=4052,Random(40),None,500,1
ns=3;i=4053,Random(41),None,500,1
ns=3;i=4054,Random(42),None,500,1
ns=3;i=4055,Random(43),None,500,1
ns=3;i=4056,Random(44),None,500,1
ns=3;i=4057,Random(45),None,500,1
ns=3;i=4058,Random(46),None,500,1
ns=3;i=4059,Temperature2,None,500,1
ns=3;i=4060,Random(48),None,500,1
ns=3;i=4061,Random(49),None,500,1
ns=3;i=4062,Random(50),None,500,1
ns=3;i=4063,Random(51),None,500,1
ns=3;i=4064,Random(52),None,500,1
ns=3;i=4065,Random(53),None,500,1
ns=3;i=4066,Random(54),None,500,1
ns=3;i=4067,Random(55),None,500,1
ns=3;i=4068,Random(56),None,500,1
ns=3;i=4069,Random(57),None,500,1
ns=3;i=4070,Random(58),None,500,1
ns=3;i=4071,Random(59),None,500,1
ns=3;i=4072,Random(60),None,500,1
ns=3;i=4073,Random(61),None,500,1
ns=3;i=4074,Random(62),None,500,1
ns=3;i=4075,Random(63),None,500,1
ns=3;i=4076,Random(64),None,500,1
ns=3;i=4077,Random(65),None,500,1
ns=3;i=4078,Random(66),None,500,1
ns=3;i=4079,Random(67),None,500,1
ns=3;i=4080,Random(68),None,500,1
ns=3;i=4081,Random(69),None,500,1
ns=3;i=4082,Random(70),None,500,1
ns=3;i=4083,Random(71),None,500,1
ns=3;i=4084,Random(72),None,500,1
ns=3;i=4085,Random(73),None,500,1
ns=3;i=4086,Random(74),None,500,1
